Gender,Norwegian ,Class,Grammatical Form ,English ,
ei/en,snekring,,noun,snekringa/snekringen,"carpentry, woodworking"
,snill,,adj./adv.,"snilt, snille","kind, nice"
,snobbete,,adj.,"snobbete, snobbete",snobby
å,snu,,verb,"snur, snudde, har snudd",turn
å,snu seg,,"verb, refl.","snur seg, snudde seg, har snudd seg",turn around
en,snø,,noun,snøen,snow
å,snø,,verb,"snør, snødde, har snødd",snow
en,snøball,,noun,"snøballen, snøballer, snøballene",snowball
et,snøbrett,,noun,"snøbrettet, snøbrett, snøbrettene",snowboard
en,snømann,,noun,"snømannen, snømenn, snømennene",snowman
en,snøscooter/snøskuter,,noun,"snøscooteren, snøscootere, snøscooterne",snowmobile
en,sofa,,noun,"sofaen, sofaer, sofaene",sofa
ei/en,sofagruppe,,noun,"sofagruppa/sofagruppen, sofagrupper, sofagruppene",sofa grouping
en,softball,,noun,"softballen, softballer, softballene",softball
en,sokk,,noun,"sokken, sokker, sokkene",sock
ei/en,sol,,noun,"sola/solen, soler, solene",sun
et,solbær,,noun,"solbæret, solbær, solbærene",black currant berry
å,sole seg,,verb,"soler seg, solte seg, har solt seg","sunbathe, lie in the sun"
,som,,"conj., sub.",,"who, whom, which, that"
,• Jeg har en venn som er her.,,,,• I have a friend who is here.
,som,,prep.,,like
,• Jeg sov som en stein,,,,• I slept like a rock.
en,somali,,noun,somalien,Somalian language
,Somalia,,noun,,Somalia
en,somalier,,noun,"somalieren, somaliere, somalierne",person from Somali
,somalisk,,adj.,"somalisk, somaliske",Somalian
en,sommer,,noun,"sommeren, somre/somrer, somrene",summer
en,sommerferie,,noun,"sommerferien, sommerferier, sommerferiene",summer vacation
en,sommerleir,,noun,"sommerleiren, sommerleirer, sommerleirene",summer camp
en,sopp,,noun,"soppen, sopper, soppene",mushroom
,sosial,,adj.,"sosialt, sosiale",social
en,sosiologi,,noun,sosiologien,sociology
ei/en,sosiologiavdeling,,noun,"avdelinga/avdelingen, avdelinger, avdelingene",sociology department
en,sosionom,,noun,"sosionomen, sosionomer, sosionomene",social worker
å,sove,,verb,"sover, sov, har sovet",sleep
en,sovepose,,noun,"soveposen, soveposer, soveposene",sleeping bag
et,soverom,,noun,"soverommet, soverom, soverommene",bedroom
en,spagetti,,noun,spagettien,spaghetti
,Spania,,noun,,Spain
,spansk,,adj.,"spansk, spanske",Spanish
en,spansk,,noun,spansken,Spanish language
å,spare,,verb,"sparer, sparte, har spart",save
,• spare penger,,,,• save money
å,sparke,,verb,"sparker, sparket, har sparket",kick
,• sparke fotball,,,,• lay soccer
en,spasertur,,noun,"spaserturen, spaserturer, spaserturene",walk
en,speedo,,noun,"speedoen, speedoer, speedoene",speedo swimsuit
et,speil,,noun,"speilet, speil, speilene",mirror
et,speilegg,,noun,"speilegget, speilegg, speileggene",fried egg
en,spekemat,,noun,"spekematen, spekemater, spekematene",dried meats
,spennende,,adj.,"adj., spennende, spennende",exciting
ei/en,spesialforretning,,noun,"-forretninga/-forretningen, -forretninger, -forretningene",specialized store
,spesiell,,adj./adv.,"spesielt, spesielle",special; especially
et,spill,,noun,"spillet, spill, spillene",game
å,spille,,verb,"spiller, spilte, har spilt",play
,• Det spiller ingen rolle.,,,,• It doesn't matter.
,• spille amerikansk fotball,,,,• play American football
,• spille basketball,,,,• play basketball
,• spille brettspill,,,,• play board games
,• spille dataspill,,,,• play computer games
,• spille fiolin,,,,• play violin
,• spille fløyte,,,,• play flute
,• spille fotball,,,,• play soccer
,• spille gitar,,,,• play guitar
,• spille golf,,,,• play golf
,• spille hardingfele,,,,• play Hardanger fiddle
,• spille håndball,,,,• play handball
,• spille i band,,,,• play in a pop/rock band
,• spille i korps,,,,• play in a band
,• spille i orkester,,,,• play in orchestra
,• spille klarinett,,,,• play clarinet
,• spille kort,,,,• play cards
,• spille piano,,,,• play piano
,• spille saksofon,,,,• play saxophone
,• spille spill,,,,• play games
,• spille spill,,,,• play games
,• spille tennis,,,,• play tennis
,• spille trekkspill,,,,• play accordian
,• spille trompet,,,,• play trumpet
,• spille TV-spill,,,,• play video games
,• spille volleyball,,,,• play volleyball
en,spinat,,noun,spinaten,spinach
å,spise,,verb,"spiser, spiste, har spist",eat
et,spisebord,,noun,"spisebordet, spisebord, spisebordene",dining room table
en,spiseforstyrrelse,,noun,"spiseforstyrrelsen, spiseforstyrrelser, spiseforstyrrelsene",eating disorder
en,spiseplass,,noun,"spiseplassen, spiseplasser, spiseplassene",eating area
en,spisesal,,noun,"spisesalen, spisesaler, spisesalene",dining hall
et,spisested,,noun,"spisestedet, spisesteder, spisestedene",eating place
ei/en,spisestue,,noun,"spisestua/spisestuen, spisestuer, spisestuene",dining room
en,spisevane,,noun,"spisevanen, spisevaner, spisevanene",eating habit
et,spor,,noun,"sporet, spor, sporene",train track; track
en,sport,,noun,"sporten, sporter, sportene",sport
ei/en,sportsforretning,,noun,"sportsforretningen, sportsforretninger, sportsforretningene",sporting goods store
,sprek,,adj.,"sprekt, spreke","spry, vigorous, active"
et,språk,,noun,"språket, språk, språkene",language
et,språkkrav,,noun,"språkkravet, språkkrav, språkkravene",language requirement
et,språkkurs,,noun,"språkkurset, språkkurs, språkkursene",language course
en,språklab,,noun,"språklaben, språklaber, språklabene",language lab
et,språklaboratorium,,noun,"språklaboratoriet, språklaboratorier, språklaboratoriene",language lab
å,spørre,,verb,"spør, spurte, har spurt",ask
et,spørreord,,noun,"spørreord, spørreord, spørreordene",interrogative
et,spørsmål,,noun,"spørsmålet, spørsmål, spørsmålene",question
,sta,,adj.,"sta, stae",stubborn
et,stabbur,,noun,"stabburet, stabburer, stabburene",traditional storage building on a farm
,stadig,,adj./adv.,"stadig, stadige",constant; constantly
,stakkars,,adj.,"stakkars, stakkars",poor
,stakkars deg!,,,,• poor you!
en,stat,,noun,"staten, stater, statene",state
,staten Minnesota,,,,• the state of Minnesota
en,statistikk,,noun,"statistikken, statistikker, statistikkene",statistics
en,statsminister,,noun,"statsministeren, statsministere, statsministerne",prime minister
en,statsvitenskap,,noun,statsvitenskapen,political science
en,status,,noun,"statusen, statuser, statusene",status
å,stave,,verb,"staver, stavet, har stavet",spell
en,stavelse,,noun,"stavelsen, stavelser, stavelsene",syllable
ei/en,stavkirke,,noun,"stavkirka/stavkirken, stavkirker, stavkirkene",stave church
en,stebror,,noun,"stebroren, stebrødre, stebrødrene",step-brother
ei/en,stedatter,,noun,"stedattera/stedatteren, stedøtre, stedøtrene",step-daughter
en,stefar,,noun,"stefaren, stefedre, stefedrene",step-father
en,stein,,noun,"steinen, steiner, steinene",stone
en,steinbit,,noun,"steinbiten, steinbiter, steinbitene","lump fish, Atlantic wolf fish"
å,steke,,verb,"steker, stekte, har stekt",fry; bake
en,stekeovn,,noun,"stekeovnen, stekeovner, stekeovnene",oven
å,stelle,,verb,"steller, stelte, har stelt",take care of
,• stelle barn,,,,• care for children
,• stelle i hagen,,,,"• care for the yard, garden"
å,stemme,,verb,"stemmer, stemte, har stemt","agree, be correct"
,• Det stemmer.,,,,• That's right.
ei/en,stemor,,noun,"stemora/stemoren, stemødre, stemødrene",step-mother
en,stemplingsautomat,,noun,"-automaten, -automater, -automatene",ticket stamping machine
et,stereoanlegg,,noun,"stereoanlegget, stereoanlegg, stereoanleggene",stereo system
,sterk,,adj.,"sterk, sterkt, sterke",strong
,• sterke verb,,,,• strong (irregular) verbs
,stresset,,adj.,"stresset, stressede/stressete",stressed
en,stesønn,,noun,"stesønnen, stesønner, stesønnene",step-son
ei/en,stesøster,,noun,"stesøstera/stesøsteren, stesøstre, stesøstrene",step-sister
en,sti,,noun,"stien, stier, stiene","trail, path"
å,stifte,,verb,"stifter, stiftet, har stiftet",establish
,• stifte familie,,,,• establish a family
en,stiftemaskin,,noun,"stiftemaskinen, stiftemaskiner, stiftemaskinene",stapler
en,stil,,noun,"stilen, stiler, stilene",essay
,stille,,adj./adv.,"stille, stille",quiet
,• stille og rolig,,,,• quiet and peaceful
å,stille,,verb,"stiller, stilte, har stilt","ask questions; put, place"
,• stille spørsmål,,,,• ask questions
,• stille vekkerklokka,,,,• set the alarm clock
ei/en,stillhet,,noun,stillheta/stillheten,quiet
ei/en,stilling,,noun,"stillinga/stillingen, stillinger, stillingene",position; job
et,stipend,,noun,"stipendet, stipender, stipendene","scholarship, grant"
å,stjele,,verb,"stjeler, stjal, har stjålet",steal
en,stol,,noun,"stolen, stoler, stolene",chair
,stor,,adj./adv.,"stort, store","large, big"
,Storbritannia,,noun,,Great Britain
en,storby,,noun,"storbyen, storbyer, storbyene",large city
en,storebror,,noun,"storebroren, storebrødre, storebrødrene",big brother
ei/en,storesøster,,noun,"storesøstera/storesøsteren, storesøstre, storesøstrene",big sister
en,storfamilie,,noun,"storfamilien, storfamilier, storfamiliene",multi-generational or extended family
en,storm,,noun,"stormen, stormer, stormene",storm
å,storme,,verb,"stormer, stormet, har stormet",storm
,Stortinget,,noun,,the Norwegian parliament
ei/en,strand,,noun,"stranda/standen, strender, strendene",beach
en/et,stress,,noun,"stressen/stresset, stress/stresser, stressene",stress
å,stresse,,verb,"stresser, stresset, har stresset",be stressed
,stressende,,adj.,"stressende, stressende",stressful
å,strikke,,verb,"strikker, strikket, har strikket",knit
ei/en,strikking,,noun,strikkinga/strikkingen,knitting
en,strøm,,noun,strømmen,electricity
ei/en,strømpebukse,,noun,"strømpebuksa/-buksen, strømpebukser, strømpebuksene","tights, pantyhose"
en,student,,noun,"studenten, studenter, studentene",student
en,studentby,,noun,"studentbyen, studentbyer, studentbyene",student housing complex
et,studenthjem,,noun,"studenthjemmet, studenthjem, studenthjemmene",dormitory
et,studentsenter,,noun,"studentsenteret, studentsentre, studentsentrene",student center
å,studere,,verb,"studerer, studerte, har studert",study
,• studere ved et universitet,,,,• study at a university
ei/en,studiegjeld,,noun,"studiegjelda/studiegjelden, studiegjelder, studiegjeldene",student loan debt
et,studielån,,noun,"studielånet, studielån, studielånene",student loan
et,studieopphold,,noun,"studieoppholdet, studieopphold, studieoppholdene","study visit, stay"
ei/en,studieretning,,noun,"studieretninga/-en, studieretninger, studieretningene",field of study
et,studium,,noun,"studiet, studier, studiene",academic studies
ei/en,stue,,noun,"stua/stuen, stuer, stuene",living room
et,stuebord,,noun,"stuebordet, stuebord, stuebordene",coffee table
,stygg,,adj./adv.,"stygt, stygge","ugly; bad, mean"
ei/en,styreform,,noun,"styreforma/styreformen, styreformer, styreformene",political system
ei/en,styrketrening,,noun,"styrketreninga/-treningen, styrketreninger, styrketreningene",strength training
,større,,"adj., comp.",comparative of “stor”,larger
en,størrelse,,noun,"størrelsen, størrelser, størrelsene",size
,størst,,"adj., sup.",superlative of “stor”,largest
ei/en,støtte,,noun,"støtta/støtten, støtter, støttene",support
å,støtte,,verb,"støtter, støttet, har støttet",support
et,støv,,noun,støvet,dust
en,støvel,,noun,"støvelen, støvler, støvlene",boot
en,støvlett,,noun,"støvletten, støvletter, støvlettene",dress boot for winter
å,støvsuge,,verb,"støvsuger, støvsuget/-sugde, har støvsuget/-sugd",vacuum
å,stå,,verb,"står, sto, har stått",stand
,• stå opp,,,,• get up in the morning
,• stå på ski,,,,• go skiing
,• stå på slalåm,,,,• go downhill skiing
,• stå på telemark,,,,• go telemark skiing
,• stå på vannski,,,,• go water skiing
et,subjekt,,noun,"subjektet, subjekter, subjektene",subject
en,subjunksjon,,noun,"subjunksjonen, subjunksjoner, subjunksjonene",subjunction
ei/en,subsidiering,,noun,"subsidieringa/subsidieringen, subsidieringer, subsidieringene",subsidizing
et,substantiv,,noun,"substantivet, substantiv/substantiver, substantivene",noun
et,sukker,,noun,sukkeret,sugar
en,sukkersyke,,noun,sukkersyken,diabetes
,sulten,,adj./adv.,"sultent, sultne",hungry
,sunn,,adj./adv.,"sunt, sunne",healthy
ei/en,suppe,,noun,"suppa/suppen, supper, suppene",soup
,sur,,adj./adv.,"surt, sure",sour; chilly; in a bad mood
å,surfe,,verb,"surfer, surfet, har surfet",surf
,• surfe på Internett,,,,• surf the internet
en,suvenir,,noun,"suveniren, suvenirer, suvenirene",souvenir
,svak,,adj.,"svak, svakt, svake",weak
,• svake verb,,,,• weak (regular) verbs
et,svar,,noun,"svaret, svar, svarene",answer
å,svare,,verb,"svarer, svarte, har svart",answer
,svart,,adj.,"svart, svarte",black
,Sveits,,noun,,Switzerland
ei/en,svele,,noun,"svela/svelen, sveler, svelene",thick Norwegian pancake
,svensk,,adj.,"svensk, svenske",Swedish
en,svensk,,noun,svensken,Swedish language
,Sverige,,noun,,Sweden
,svett,,adj.,"svett, svette",sweaty
,• være svett,,,,• be sweaty
å,svette,,verb,"svetter, svettet, har svettet",sweat
en,svigerfar,,noun,"svigerfaren, svigerfedre, svigerfedrene",father-in-law
et,svigerforelder,,noun,"svigerforelderet, svigerforeldre, svigerforeldrene",parents-in-law
ei/en,svigerinne,,noun,"svigerinna/svigerinnen, svigerinner, svigerinnene",sister-in-law
ei/en,svigermor,,noun,"svigermora/svigermoren, svigermødre, svigermødrene",mother-in-law
en,svinefilet,,noun,"svinefileten, svinefileter, svinefiletene",pork steak
et,svinekjøtt,,noun,"svinekjøttet, svinekjøtt, svinekjøttene",pork
en,svinekotelett,,noun,"svinekoteletten, svinekoteletter, svinekotelettene",pork chop
en,sving,,noun,"svingen, svinger, svingene","curve, turn"
en,svoger,,noun,"svogeren, svogere, svogerne",brother-in-law
,svær,,adj./adv.,"svært, svære","huge; very, extremely"
å,svømme,,verb,"svømmer, svømte, har svømt",swim
en,svømmehall,,noun,"svømmehallen, svømmehaller, svømmehallene",swimming hall
ei/en,svømming,,noun,svømminga/svømmingen,swimming
en,swahili,,noun,swahilien,official language of Tanzania
å,sy,,verb,"syr, sydde, har sydd",sew
,syk,,adj.,"sykt, syke",sick
en,sykdom,,noun,"sykdommen, sykdommer, sykdommene",illness
en,sykebil,,noun,"sykebilen, sykebiler, sykebilene",ambulance
et,sykehus,,noun,"sykehuset, sykehus, sykehusene",hospital
ei/en,sykepleie,,noun,sykepleia/sykepleien,nursing
en,sykepleier,,noun,"sykepleieren, sykepleiere, sykepleierne",nurse
en,sykkel,,noun,"sykkelen, sykler, syklene",bicycle
en,sykkeltur,,noun,"sykkelturen, sykkelturer, sykkelturene",bicycle ride
å,sykle,,verb,"sykler, syklet, har syklet",bicycle
et,syltetøy,,noun,"syltetøyet, syltetøy, syltetøyene",jam
et,symbol,,noun,"symbolet, symboler, symbolene",symbol
å,symbolisere,,verb,"symboliserer, symboliserte, har symbolisert",symbolize
et,symptom,,noun,"symptomet, symptomer, symptomene",symptom
ei/en,synd,,noun,"synda/synden, synder, syndene",sin; pity
å,synes,,verb,"synes, syntes, har synes","think, have an opinion"
å,synge,,verb,"synger, sang, har sunget",sing
,• synge i kor,,,,• sing in a choir
,syrisk,,adj.,"syrisk, syriske",Syrian
en,syrisk,,noun,syrisken,Syrian language
,sytten,,"det., quan.",,seventeen
,syttende,,"adj., ord.",,seventeenth
,• syttende mai,,,,"• Seventeenth of May,
Consitution Day"
,sytti,,"det., quan.",,seventy
,syttiende,,"adj., ord.",,seventieth
,syv,,"det., quan.","(old form of ""sju"")",seven
,særlig,,adv.,,"especially, particularly"
en,søndag,,noun,"søndagen, søndager, søndagene",Sunday
en,sønn,,noun,"sønnen, sønner, sønnene",son
et,søppel,,noun,søppelet,"garbage, trash"
,sør,,adv.,,south
,• sør for,,,,• south of
,Sør-Afrika,,noun,,South Africa
en,sørafrikaner,,noun,"sørafrikaneren, sørafrikanere, sørafrikanerne",person from South Africa
,sørafrikansk,,adj./adv.,,South African
,Sør-Amerika,,noun,,South America
,Sørlandet,,noun,,Southern Norway
en,sørlending,,noun,"sørlendingen, sørlendinger, sørlendingene",person from Southern Norway
et,søsken,,noun,"søskenet, søsken, søsknene",siblings
et,søskenbarn,,noun,"søskenbarnet, søskenbarn, søskenbarna",cousin
ei/en,søster,,noun,"søstera/søsteren, søstre, søstrene",sister
,søt,,adj./adv.,"søtt, søte",sweet; cute
en,søvn,,noun,søvnen,sleep
,så,,adv.,,then
,så,,"conj., coord.",,so
,sånn,,"adv.
det., dem.",,"such, like that, in such a way"
,• sånn passe,,,,"• okay, but slightly negative"
ei/en,såpe,,noun,"såpa/såpen, såper, såpene",soap
,sårbar,,adj.,"sårbart, sårbare",vulnerable; vulnerably
,,,,,
,,,,,
,,,,,
T-bane,,noun,"T-banen, T-baner, T-banene",subway,
ei/en,T-skjorte,,noun,"T-skjorta/T-skjorten, T-skjorter, T-skjortene",t-shirt
å,ta,,verb,"tar, tok, har tatt",take
,• ta ansvaret for,,,,• take the responsibility for
,• ta bilder,,,,• take pictures
,• ta bussen,,,,• take the bus
,• ta det med ro,,,,• take it easy
,• ta en dusj,,,,• take a shower
,• ta en kaffepause,,,,• take a coffee break
,• ta en lur,,,,• take a nap
,• ta en pause,,,,• take a break
,• ta en røyk,,,,• have a smoke/cigarette
,• ta et bad,,,,• take a bath
,• ta initiativet,,,,• take the initiative
,• ta kontakt,,,,"• get in touch, contact"
,• ta opp et lån,,,,• take out a loan
en,taco,,noun,"tacoen, taco, tacoene",taco
et,tak,,noun,"taket, tak, takene",ceiling
en,takk,,noun,"takken, takker, takkene",thank you
,• Takk for hjelpen!,,,,• Thanks for the help!
,• Takk for i dag!,,,,• Thanks for today!
,• Takk for i kveld!,,,,• Thanks for tonight!
,• Takk for maten!,,,,• Thanks for the food!
,• Takk for meg!,,,,• Thanks for having me!
,• Takk for praten!,,,,• Thanks for the chat!
,• Takk for sist!,,,,• Thanks for the last time!
,• Takk skal du ha!,,,,• You shall have thanks!
å,takke,,verb,"takker, takket, har takket",thank
,• takke ja,,,,• say yes
,• takke nei,,,,• say no
,• takket være deg,,,,• thanks to you
et,talespråk,,noun,"talespråket, talespråk, talespråkene",spoken language
et,tall,,noun,"tallet, tall, tallene",number
en,tanke,,noun,"tanken, tanker, tankene",thought
ei/en,tann,,noun,"tanna/tannen, tenner, tennene",tooth
en,tannbørste,,noun,"tannbørsten, tannbørster, tannbørstene",toothbrush
en,tannkrem,,noun,"tannkremen, tannkremer, tannkremene",toothpaste
en,tannlege,,noun,"tannlegen, tannleger, tannlegene",dentist
en,tannpleier,,noun,"tannpleieren, tannpleiere, tannpleierne",dental hygienist
ei/en,tannregulering,,noun,"tanngreguleringa/-en, tannreguleringer, tannreguleringene",braces
,• ha tannregulering,,,,• have braces
ei/en,tante,,noun,"tanta/tanten, tanter, tantene",aunt
,Tanzania,,noun,,Tanzania
en,tanzanianer,,noun,"tanzanianeren, tanzanianere, tanzanianerne",person from Tanzania
,tanzaniansk,,adj.,"tanzaniansk, tanzanianske",Tanzanian
å,tape,,verb,"taper, tapte, har tapt",lose
,• tape kampen,,,,• lose the game/match
et,tapet,,noun,"tapetet, tapeter, tapetene",wall paper
ei/en,tavle,,noun,"tavla/tavlen, tavler, tavlene",chalkboard
en,te,,noun,"teen, teer, teene",tea
et,teater,,noun,"teateret, teatre, teatrene",theater
å,tegne,,verb,"tegner, tegnet, har tegnet",draw
ei/en,tegning,,noun,"tegninga/tegningen, tegninger, tegningene",drawing
ei/en,tekstbok,,noun,"tekstboka/-boken, tekstbøker, tekstbøkene",textbook
ei/en,tekstmelding,,noun,"tekstmeldinga/-en, tekstmeldinger, tekstmeldingene",text message
en,telefon,,noun,"telefonen, telefoner, telefonene",telephone
et,telefonnummer,,noun,"telefonnummeret, telefonnumre, telefonnumrene",phone number
å,telle,,verb,"teller, telte/talte, har telt/har talt",count
et,telt,,noun,"teltet, telt, teltene",tent
en,temperatur,,noun,"temperaturen, temperaturer, temperaturene",temperature
et,tempo,,noun,"tempoet, tempoer, tempoene",tempo
å,tenke,,verb,"tenker, tenkte, har tenkt",think
,• Jeg tenker på mora mi.,,,,• I'm thinking about my mom.
å,tenke seg,,"verb, refl.","tenker seg, tenkte seg, har tenkt seg",imagine; intend
,• Jeg kan tenke meg at...,,,,• I can imagine that...
å,tenne,,verb,"tenner, tente, har tent",light
,• tenne lampa,,,,• turn on the lamp
,• tenne stearinlyset,,,,• light a candle
en,tennis,,noun,tennisen,tennis
en,tennisbane,,noun,"tennisbanen, tennisbaner, tennisbanene",tennis court
en,tennisracket,,noun,"tennisracketen, tennisracketer, tennisracketene",tennis racquet
en,tennissko,,noun,"tennisskoen, tennissko, tennisskoene",tennis shoe
en,tenåring,,noun,"tenåringen, tenåringer, tenåringene",teenager
,teoretisk,,adj./adv.,"teoretisk, teoretiske",theoretic; theoretically
et,teppe,,noun,"teppet, tepper, teppene",rug
en,terrasse,,noun,"terrassen, terrasser, terrassene",terrace
et,terreng,,noun,"terrenget, terreng, terrengene",terrain
,tett,,adj.,"tett, tette","tight, blocked; dense"
,• være tett i nesa,,,,• have a stufffed up nose
et,tettsted,,noun,"tettstedet, tettsteder, tettstedene",town
,ti,,"det., quan.",,ten
ei/en,tid,,noun,"tida/tiden, tider, tidene",time
,• ha dårlig/god tid,,,,• have little/a lot of time
,• hele tida,,,,• the whole time
,tidlig,,adj./adv.,"tidlig, tidlige",early
,tidligere,,adj./adv.,comparative of “tidlig”,earlier
en,tidsfrist,,noun,"tidsfristen, tidsfrister, tidsfristene","deadline, time limit"
et,tidsuttrykk,,noun,"tidsuttrykket, tidsuttrykk, tidsuttrykkene",time expression
,tiende,,"adj., ord.",,tenth
en,tier,,noun,"tieren, tiere, tierne",10-crown coin
,til,,adv./prep.,,to
,• til slutt,,,,• in the end
,• til sommeren,,,,• next summer
,tilbake,,adv.,,back
,• tilbake til,,,,• back to
å,tilbringe,,verb,"tilbringer, tilbrakte, har tilbrakt",spend (time)
,• tilbringe tid,,,,• spend time
,tilgjengelig,,adj.,"tilgjengelig, tilgjengelige",available
et,tillegg,,noun,"tillegget, tillegg, tilleggene",addition
et,tilstedsadverb,,noun,"-adverbet, -adverb/-adverber, -adverbene",adverb of motion
et,tilvalgsfag,,noun,"tilvalgsfaget, tilvalgsfag, tilvalgsfagene",elective (school subject)
en,time,,noun,"timen, timer, timene","hour; class hour, class session"
en,timeplan,,noun,"timeplanen, timeplaner, timeplanene","schedule, timetable"
en,ting,,noun,"tingen, ting, tingene",thing
en,tirsdag,,noun,"tirsdagen, tirsdager, tirsdagene",Tuesday
å,titte,,verb,"titter, tittet, har tittet","peek, look"
,"• Jeg bare titter, takk.",,,,"• I'm just looking, thanks."
å,tjene,,verb,"tjener, tjente, har tjent",earn
,• tjene penger,,,,• earn money
en,tjeneste,,noun,"tjenesten, tjenester, tjenestene",favor; service
,• gjøre en tjeneste,,,,• do a favor
,tjue,,"det., quan.",,twenty
,tjuende,,"adj., ord.",,twentieth
ei/en,tjuekroning,,noun,"tjuekroninga/-kroningen, tjuekroninger, tjuekroningene",20-crown coin
,to,,"det., quan.",,two
et,toalett,,noun,"toalettet, toaletter, toalettene",toilet
et,tog,,noun,"toget, tog, togene",train
en,togstasjon,,noun,"togstasjonen, togstasjoner, togstasjonene",train station
en,tohundrelapp,,noun,"tohundrelappen, tohundrelapper, tohundrelappene",200-crown bill
en,toll,,noun,"tollen, toller, tollene",customs checkpoint; duty
,tolv,,"det., quan.",,twelve
,tolvte,,"adj., ord.",,twelfth
en,tomannsbolig,,noun,"tomannsboligen, tomannsboliger, tomannsboligene",duplex
en,tomat,,noun,"tomaten, tomater, tomatene",tomato
ei/en,tomatsuppe,,noun,"tomatsuppa/-suppen, tomatsupper, tomatsuppene",tomato soup
et,tonem,,noun,"tonemet, tonem/tonemer, tonemene",tones in Norwegian words
,• tonem 1,,,,• tone 1
,• tonem 2,,,,• tone 2
,topp,,adj.,,"great, the best"
,• Det er helt topp!,,,,• That is the best!
en,topp,,noun,"toppen, topper, toppene","top, thin blouse or shirt for women"
en,torden,,noun,tordenen,thunder
et,tordenvær,,noun,tordenværet,thunder storm
å,tordne,,verb,"tordner, tordnet, har tordnet",thunder
et,torg,,noun,"torget, torg, torgene",outdoor market
en,torsdag,,noun,"torsdagen, torsdager, torsdagene",Thursday
en,torsk,,noun,"torsken, torsker, torskene",cod
ei/en,torsketunge,,noun,"torsketunga/-tungen, torsketunger, torsketungene",cod tongue
ei/en,torv,,noun,"torva/torven, torver, torvene","turf, grass"
en,tradisjon,,noun,"tradisjonen, tradisjoner, tradisjonene",tradition
,tradisjonell,,adj./adv.,"tradisjonelt, tradisjonelle",traditional; traditionally
en,trafikk,,noun,trafikken,traffic
et,trafikkskilt,,noun,"trafikkskiltet, trafikkskilt, trafikkskiltene",traffic sign
ei/en,tralle,,noun,"tralla/trallen, traller, trallene",cart
ei/en,tran,,noun,trana/tranen,fish oil
,trang,,adj.,"trangt, trange",narrow; tight
en,transport,,noun,"transporten, transporter, transportene",transportation
,travel,,adj.,"travelt, travle",busy
,tre,,"det., quan.",,three
et,tre,,noun,"treet, trær, trærne",tree
en,tredel,,noun,"tredelen, tredeler, tredelene",a third
,tredje,,"adj., ord.",,third
å,treffe,,verb,"treffer, traff, har truffet",meet; hit
,• treffe en ball,,,,• hit a ball
,• treffe venner,,,,• meet friends
et,tregolv,,noun,"tregolvet, tregolv, tregolvene",wood floor
å,trene,,verb,"trener, trente, har trent","work out, practice"
å,trenge,,verb,"trenger, trengte, har trengt",need
ei/en,trening,,noun,"treninga/treningen, treninger, treningene",athletic practice
ei/en,treningsdrakt,,noun,"treningsdrakta/-drakten, treningsdrakter, treningsdraktene",sweatsuit
et,treningsstudio,,noun,"treningsstudioet, treningsstudioer, treningsstudioene","gym, exercise studio"
ei/en,treskjæring,,noun,"treskjæringa/treskjæringen, treskjæringer, treskjæringene",wood carving
,tretten,,"det., quan.",,thirteen
,trettende,,"adj., ord.",,thirteenth
,tretti,,"det., quan.",,thirty
,trettiende,,"adj., ord.",,thirtieth
en,trikk,,noun,"trikken, trikker, trikkene",streetcar
en,trim,,noun,trimmen,exercise; physical condition
et,trimrom,,noun,"trimrommet, trimrom, trimrommene",exercise room
et,trinn,,noun,"trinnet, trinn, trinnene","level, step"
,trivelig,,adj.,"trivelig, trivelige","pleasant, comfortable"
å,trives,,verb,"trives, trivdes, har trives","thrive, get along well"
å,tro,,verb,"tror, trodde, har trodd","think, believe"
,• tro på Gud,,,,• believe in God
en,trompet,,noun,"trompeten, trompeter, trompetene",trumpet
ei/en,truse,,noun,"trusa/trusen, truser, trusene",panties
ei/en,trygghet,,noun,tryggheta/tryggheten,safety
et,trykk,,noun,"trykket, trykk, trykkene",pressure; stress in a word
en,trønder,,noun,"trønderen, trøndere, trønderne",person from Trøndelag
å,trøste,,verb,"trøster, trøstet, har trøstet",comfort
,trøtt,,adj.,"trøtt, trøtte",tired
,Tunisia,,noun,,Tunisia
en,tur,,noun,"turen, turer, turene",trip; walk
en,turisme,,noun,turismen,tourism
en,turist,,noun,"turisten, turister, turistene",tourist
en,turistattraksjon,,noun,"turistattraksjonen, turistattraksjoner, turistattraksjonene",tourist attraction
,Turistforeninga/Turistforeningen,,noun,,Norwegian Trekking Association
,turkis,,adj.,"turkist, turkise",turquoise
ei/en,turnering,,noun,"turneringa/turneringen, turneringer, turneringene",tournament
en,turnus,,noun,"turnusen, turnuser, turnusene","work rotation, shift"
et,turområde,,noun,"turområdet, turområder, turområdene",hiking area
en,tursti,,noun,"turstien, turstier, turstiene",hiking trail
et,turterreng,,noun,"turterrenget, turterreng, turterrengene",hiking terrain
,tusen,,"det., quan.",,thousand
,• Tusen takk!,,,,• A thousand thanks.
en,tusenlapp,,noun,"tusenlappen, tusenlapper, tusenlappene",1000-crown bill
,tusende,,"adj., ord.",,thousandth
en,tusj,,noun,"tusjen, tusjer, tusjene",marker
en,TV,,noun,"TV-en, TV-er, TV-ene",TV
et,TV-spill,,noun,"TV-spillet, TV-spill, TV-spillene",video game
ei/en,TV-stue,,noun,"TV-stua, TV-stuer, TV-stuene",TV room
en,tvil,,noun,tvilen,doubt
